HFD_CH1,HFD_CH2,HFD_CH3,HFD_CH4,HFD_CH5,HFD_CH6,HFD_CH7,HFD_CH8,Class
1.6283547206306292,1.940029464820756,2.01325208356669,1.8048728137602887,1.7116388397683957,1.6433744941618893,1.6550038485157654,1.5094351551868697,1
1.845321276686888,1.7097795877482873,1.870331478659017,1.8915008264599689,1.8635009784185648,1.8892953269479549,1.8820202853804924,1.817812467647732,0
1.8059746118594573,1.6988975243925517,1.946124850283368,1.847635327367944,1.904777308820188,1.90829113035006,1.842247711074377,1.898406057642681,0
-1.0746813654922036,-0.9635524996386738,-1.0979883570689126,-1.009627783116871,-1.3479040474276394,-0.7484007945451744,-0.8313230947270009,-0.918681377081393,1
1.0316301410243836,1.2980823288264467,1.2060362667519977,1.2622946505869064,1.1095543555002407,1.01337113420877,1.2695788220068598,0.0,0
1.3181280081623514,1.3180862597105911,1.2922052951522387,1.3168122929948758,1.3139171905539306,1.3188542028723858,1.3172133322295554,1.1860535297576953,0
-1.2591892177732404,-1.0415222338055945,-1.1273164188952864,-1.134467862299512,-1.0790740714674072,-1.0493661969283468,-1.1814783160951143,-1.0676770561361528,0
-0.8364956214271662,-0.5292279890910853,-0.645592555734039,-0.6319109954631339,-0.6343755210239975,-0.6409154686323161,-0.6745624971869916,0.0,0
1.7728474405861423,1.8139896196781828,1.8071178151441925,1.760509291202192,1.811743167389557,1.790096220825076,1.809045142637043,1.7738246232408892,1
1.9876768803414204,1.988272647213615,1.977570068453852,2.0032797185441846,2.0026425913155106,2.005712827758966,2.0003593878275536,1.9920859958083563,0
1.9765804610224145,1.9795956512874413,1.9634614860361777,1.9847679147105275,1.984453797587899,1.9846824728964136,1.98460032445488,1.984501521361099,0
-0.0593883709063296,0.0190796904389318,-0.1595814567919996,0.0198984716269884,-0.2969714703692268,0.2366869598367076,0.218694300011575,0.208672951329241,1
-1.309081836847707,-1.0625942693490156,-1.1591589472801804,-1.1643052955066484,-1.1115913569487923,-1.0839685596314073,-1.2145965072137428,-1.1384092510943964,0
